City_ID,City,Country,Max Temperature,Description,Latitude (Deg),Longitude (Deg),Hotel Name
79,cape town,ZA,64.09,few clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
80,bethel,US,60.31,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
81,saint-philippe,RE,74.79,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
83,kokopo,PG,79.88,overcast clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
84,bengkulu,ID,74.98,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
85,yulara,AU,75.04,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
86,sao geraldo do araguaia,BR,79.66,overcast clouds,-6.4006,-48.555,Hotel Por do Sol
90,guerrero negro,MX,69.28,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
93,phangnga,TH,73.44,few clouds,8.4509,98.5298,Sunimit Mansion
94,albany,US,61.81,overcast clouds,42.6001,-73.9662,
97,barabai,ID,73.87,overcast clouds,-2.5833,115.3833,HOTEL BOURAQ INDAH PERMAI
98,puri,IN,70.32,scattered clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
102,puerto ayora,EC,76.96,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
104,oro valley,US,68.09,clear sky,32.3909,-110.9665,"El Conquistador Tucson, A Hilton Resort"
105,pekan,MY,75.31,overcast clouds,3.4836,103.3996,Pekan Budget Hotel
106,caravelas,BR,76.32,few clouds,-17.7125,-39.2481,Pousada dos Navegantes
110,cabo san lucas,MX,79.9,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
111,castro,BR,76.37,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
114,iquique,CL,69.84,overcast clouds,-20.2208,-70.1431,Backpacker`s Hostel Iquique
119,chikhli,IN,64.78,few clouds,20.35,76.25,Satish shete home
122,atuona,PF,79.12,broken clouds,-9.8,-139.0333,Villa Enata
124,meulaboh,ID,76.12,broken clouds,4.1363,96.1285,Kost Pria
132,geraldton,AU,64.81,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
133,ballina,AU,68.18,overcast clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
134,souillac,MU,78.37,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
136,katete,UG,62.73,light rain,-0.7818,29.7544,
138,huarmey,PE,71.44,scattered clouds,-10.0681,-78.1522,Hotel Miramar
142,nabire,ID,76.39,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
145,grand gaube,MU,78.39,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
148,bundaberg,AU,79.21,clear sky,-24.85,152.35,Takalvan Motel
151,dingle,PH,75.24,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
157,east london,ZA,70.95,overcast clouds,-33.0153,27.9116,Tu Casa
158,naranjal,EC,78.6,light rain,-2.6667,-79.6167,Media Naranja
161,talcahuano,CL,64.08,few clouds,-36.7167,-73.1167,departamento comodo
164,dicabisagan,PH,75.87,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
165,avera,US,75.07,overcast clouds,33.194,-82.5271,
167,georgetown,MY,79.9,few clouds,5.4112,100.3354,Cititel Penang
169,daru,PG,77.13,overcast clouds,-9.0763,143.2092,Daru Lodge
172,goose creek,US,79.09,scattered clouds,32.981,-80.0326,"Holiday Inn Express & Suites Charleston-North, an IHG Hotel"
176,rawson,AR,75.49,scattered clouds,-43.3002,-65.1023,Hosteria Sampedro
177,saint-joseph,RE,73.78,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
178,ribeira grande,PT,66.6,broken clouds,38.5167,-28.7,Quinta da Meia Eira
179,luanda,AO,77.54,moderate rain,-8.8368,13.2343,Hotel Fórum
